coursenumber,career,condition,daytime,description,instructor,location,name,section,sectionid,subsections,type
ARTH37304,Graduate,Open,Tue Thu : 12:00 PM-01:20 PM,"The course presents the history of photographic practices in the United States, beginning in the late 19th century and extending into the 1980s, aimed at gaining an audience for photographs within museums of art. The issues under study include the contention over claims about medium specificity, notions of photographic objectivity, a peculiarly photographic esthetics, the division of photography into two categories—art vs. documentary—and the role of tradition and canon formation in the attempted definition of the photographic medium.",Joel Snyder,Cochrane-Woods Art Ctr 152,Photo/Modernism/Esthetic,1,[54514],[],SEM
ARTH39150,Graduate,Open,Mon Wed : 01:30 PM-04:20 PM,"This course will explore the fascinating culture of covering and veiling sacred icons, or images that were thought to cause trauma or outrage in the European tradition. It will begin in the ancient world and explore medieval, Renaissance and modern art – both paintings and sculptures, as well as images that represent the covering of images… It will attempt to restore the sensual, the tactile and the performative to the experience of viewing art and engaging with its powers, by contrast to the prevailing regime of disinterested contemplation encouraged by the modernist art gallery.",Jas Elsner,TBA,Veiling the Image: Sacred & Profane-Antiquity to Modernity,1,[54829],[],SEM
ARTH39400,Graduate,Open,Tue Thu : 03:00 PM-04:20 PM,"Feminine space denotes an architectural or pictorial space that is perceived, imagined, and represented as a woman. Unlike an isolated female portrait or an individual female symbol, a feminine space is a spatial entity: an artificial world composed of landscape, vegetation, architecture, atmosphere, climate, color, fragrance, light, and sound, as well as selected human occupants and their activities. This course traces the construction of this space in traditional Chinese art (from the second to the eighteenth centuries) and the social/political implications of this constructive process.",Hung-Wu Wu,Cochrane-Woods Art Ctr 152,Feminine Space in Chinese Art,1,[54525],[],SEM
ARTH40010,Graduate,Open,Tue Thu : 01:30 PM-04:20 PM,"“Ruins” will cover texts and images, from Thucydides to WWII, via the Reformation. We will include films (e.g. Rossellini’s “Germany Year Zero”), art (e.g. H. Robert, Piranesi) archaeology, and the museum (Soane). On ruins writing, we will read Thucydides, Pausanias from within antiquity, the Enlightenment responses to the destruction and archaeological rediscovery of Pompeii, Diderot, Simmel, Freud on the mind as levels of ruins (Rome) and the analysis as reconstructive archaeologist as well as on the novel Gradiva and the Acropolis, the Romantic obsession with ruins, and the firebombing in WWII. We will also consider the photographing of ruins, and passages from the best-known works on photography (Benjamin, Sontag, Ritchen, Fried, Azoulay). The goal is to see how ruin gazing, and its depictions (textual, imagistic, photographic, etc.) change from the ancients (Greek and Roman), to the Romantic use of ruins as a source of (pleasurable) melancholy, to the technological “advances” in targeting and decimating civilian populations that describe the Second Word War.","Jas Elsner, Francoise Meltzer",Regenstein Library 207,Ruins,1,[43836],[],SEM
ARTH40310,Graduate,Open,Wed : 01:30 PM-04:20 PM,"How do we know what we know about ancient religions? Historians of religion often begin by turning to texts: either sacred texts, or, in the absence of such scriptures, descriptions of belief and practice by observers from outside the faith. Archaeologists focus their attention on the spaces and traces of religious practice—or at least those that survive—while art historians begin by examining images of deities and religious rites. Yet we often fail to see the extent to which the questions which we ask of all of these diverse sources are conditioned by Christian rhetoric about pagan worship. In this course, we compare two moments when Christians encountered ""pagans"": during the initial Christian construction of a discourse on paganism (and, more broadly, a discourse on religion) during the late Roman empire and during the Spanish discovery of the New World. Our course examines silences and absences in the textual and material records, as well as the divergences between texts and objects, in order to further our understanding of ancient religious practice. We will begin to see the many ways in which, as scholars of religion, we are in effect still Christian theologians, paving the way for new approaches to the study of ancient religion.","Clifford Ando, Claudia Brittenham",Regenstein Library 207,The Discovery of Paganism,1,[43841],[],SEM
ARTH41610,Graduate,Open,Mon : 06:00 PM-08:50 PM,"Venice’s long-standing ties with the Byzantine Empire have left their visible trace in the city’s art and architecture and have had an equally strong impact on Venetian myth-making in the pre-modern period. Until today the appropriation of Byzantine style is especially evident in the church of Saint Mark the Evangelist, as well as in the decoration of less-well known medieval churches of the Venetian Lagoon. During the so-called Fourth Crusade, the Sack of Constantinople has led to large-scale pillaging of the Byzantine capital and the transfer to Venice of countless Byzantine artifacts, among them are liturgical items, reliquaries, icons, and architectural spoils. How were these artifacts employed in the Venetian Lagoon for religious and political ends after being disassociated from their original contexts? What transformations did they experience with regard to usage and appearance? What kinds of new ceremonies, both religious and secular, did they inspire? What was their impact on artistic creativity and religious life in their new environment? How were they perceived intellectually, and what kinds of narratives evolved around them in Venice over the centuries? These are some of the key questions to guide our research. On a broader scale, we will investigate various phenomena of cultural transfer and ‘hybridity’ from the Middle Ages to the Baroque era.",Karin Krause,Swift Hall 201,Between East and West: Venice in the Pre-Modern Period,1,[41404],[],SEM
ARTH42250,Graduate,Open,Thu : 01:30 PM-04:20 PM,"In recent years the role played by materials and concepts (both implicit and explicit) of materiality in relation to European medieval culture have preoccupied medievalists working in a wide range of disciplines: this seminar aims to critically confront this scholarly work with a range of medieval objects and practices. Questions of how materials might ""mean"" in the Middle Ages, as well as how works of art and material culture were informed by and also contributed to medieval understandings of ""materia,"" materiality, and processes of material making will be central to the seminar's work. The seminar will critically consider not only the varied scholarly perspectives often dubbed ""the new materialism,"" and we will also return to several important ""old"" materialisms that might yet have insights to offer the study of medieval material and intellectual culture. Readings will be drawn not only from the discipline of art history but also from the history of ideas, of science, medieval literature, law, theology, etc. In addition to collective discussion of medieval artifacts and works of art, we will also confront a range of medieval texts.",Aden Kumler,Campus North Res Commons 158,Materiality & Medieval Art History,1,[54585],[],SEM
ARTH42911,Graduate,Open,Fri : 09:30 AM-12:20 PM,,Matthew Jackson,Logan Center 801,21st Century Art,1,[54014],[],STU
ARTH44909,Graduate,Open,Mon : 01:30 PM-04:20 PM,"With pictorial and verbal narratives that unfold before the viewer, Japanese picture handscrolls (emaki) of the 12th through early 20th centuries fulfilled a variety of aims: to tell a story, propagate a Buddhist teaching, commemorate famous persons living and dead, and to locate divinity within a specific landscape. Focusing on masterworks such as the Tale of Genji, Miraculous Origins of Mt. Shigi, and the Illustrated Biography of the Monk Xuanzang, this course considers the scrolls’ diverse narrative strategies and spatial constructions, paying special attention to the pictorial expression of social status, gender roles, and divinity. We will also consider modern handscrolls from the early 20th century and scrolls in local collections.",Chelsea Foxwell,Cochrane-Woods Art Ctr 152,Seminar:  Japanese Handscroll Paintings,1,[54586],[],SEM
ARTH46005,Graduate,Closed,Wed : 10:30 AM-01:20 PM,"This class will explore questions raised by the use of algorithms, and similar systemic processes, in the arts. Recent developments in computational tools have dramatically increased the availability, and complexity, of algorithmic methods. This seminar will reach back to examine cases—with and without electronic computation—over the last century in a range of artistic fields, including architecture, painting, sculpture, music, and literature. We will consider the challenges that algorithmic methods present for concepts such as authorship, intentionality, originality, meaning, beauty, taste, and art itself.",Sean Keller,TBA,Algorithms and Aesthetics,1,[55364],[],SEM
ARTH48201,Graduate,Open,Tue : 03:00 PM-05:50 PM,"The site of some of the most widely recognizable monuments of western art history and the home to some of the most famous artists, writers, designers, thinkers, and cultural patrons of early modern culture, Florence has long occupied a central place in a larger pan-European discourse of Modernity, Beauty, and the Individual Subject. As a result, the city itself has come to occupy a mythic position as a central hub of Western intellectual culture: uprooted from its geographical specificity by the circulation of such proper names as Machiavelli, Leonardo, Michelangelo, and unmoored from its historical heritage by the disorienting complexities of modern mass tourism. Therefore, this course seeks to re-integrate the “Renaissance” into the urban context from which it emerged, to defamiliarize it so that it can be looked at from other perspectives. It focuses on the city itself as the protagonist of some of the most important experiments in art, architecture, and urban development and shows how they were intimately connected to a lively and engaged social body. By approaching images and monuments through the spatial practices by which they were encountered by Renaissance society (rituals of conflict, contests, economic exchange, religious devotion, urban politics, identity formation, among others), students will gain a more nuanced understanding of the links between a localized urban culture and a larger intercultural and cross-temporal exchange of ideas.",Niall Atkinson,Campus North Res Commons 158,"Florentine Topographies: Art, Architecture, and Urban Life",1,[54588],[],SEM
ARTH49800,Graduate,Open,TBA,,Matthew Jackson,TBA,Independent Research: Art,9,[54597],[],IND
ARTH50200,Graduate,Open,TBA,"This course is conducted by a faculty member every spring to introduce third-year students to the tasks of preparing grant proposals and applications. The aim of the workshop is to help you produce a finished dissertation proposal by the early autumn of your fourth year and to prepare you to apply for grants at that time. The department requires third-year students to participate fully in the workshop, register for credit, and earn a Pass.",Persis Berlekamp,Arranged ARR,Dissertation Workshop,1,[54617],[],SEM
ARTV10100,Undergraduate,Open,Mon Wed : 08:30 AM-10:20 AM,"Through studio work and critical discussions on 2D form, this course is designed to reveal the conventions of images and image-making. Basic formal elements and principles of art are presented, but they are also put into practice to reveal perennial issues in a visual field. Form is studied as a means to communicate content. Topics as varied as, but not limited to, illusion, analogy, metaphor, time and memory, nature and culture, abstraction, the role of the author, and universal systems can be illuminated through these primary investigations. Visits to museums and other fieldwork required, as is participation in studio exercises and group critiques. Students must attend class for the full first week to confirm enrollment. Pink slip/wait list requests are due several weeks before the quarter begins. Sign up for the wait list at dova.uchicago.edu/content/wait-list-core-courses-0. Note(s): ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the dramatic, musical, and visual arts. Previous experience in media-based studio courses not accepted as a substitute for this course.",Morganne Wakefield,Logan Center 108,Visual Language: On Images,6,[53975],[],STU
ARTV10200,Undergraduate,Open,Mon Wed : 03:30 PM-05:20 PM,"Through studio work and critical discussions on 3D form, this course is intended to reveal the conventions of sculpture while investigating its modes of production. Basic formal elements and principles of art are presented, but also put into practice to reveal perennial issues in a visual field. Form is studied as a means to communicate content. Topics as varied as, but not limited to, platonic form, analogy, metaphor, verisimilitude, abstraction, nature and culture, and the body politic can be illuminated through these primary investigations. Visits to museums and other fieldwork required, as is participation in studio exercises and group critiques. Students must attend class for the full first week to confirm enrollment. Pink slip/wait list requests are due several weeks before the quarter begins. Sign up for the wait list at dova.uchicago.edu/content/wait-list-core-courses-0. Note(s): ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the dramatic, musical, and visual arts. Previous experience in media-based studio courses not accepted as a substitute for this course.",Gabriel Moreno,Logan Center 401,Visual Language: On Objects,2,[53983],[],STU
ARTV10300,Undergraduate,Open,Wed : 01:30 PM-04:20 PM,"Through studio work and critical discussion on four-dimensional form, this course is designed to reveal the conventions of the moving image, performance, and/or the production of digital-based media. Basic formal elements and principles of art are presented, but also put into practice to reveal perennial issues in a visual field. Form is studied as a means to communicate content. Topics as varied as but not limited to narrative, mechanical reproduction, verisimilitude, historical tableaux, time and memory, the body politic, and the role of the author can be illuminated through these primary investigations. Some sections focus solely on performance; others incorporate moving image technology. Please check the time schedule for details. Visits to museums and other fieldwork required, as is participation in studio exercises and group critiques. Students must attend class for the full first week in order to confirm enrollment. Pink slip/wait list requests are due several weeks before the quarter begins. Sign up for the wait list at dova.uchicago.edu/content/wait-list-core-courses-0. Note(s): ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the dramatic, musical, and visual arts. Previous experience in media-based studio courses not accepted as a substitute for this course.",Jason Salavon,Logan Center 028,Visual Language: On Time and Space,1,[53986],[],STU
ARTV20009,Undergraduate,Open,Tue : 03:00 PM-05:50 PM,"This seminar-style course will explore historical and contemporary interventions in visual and performative artistic practices with human rights. Co-taught by a historian and theater-maker, the course will consider various paradigms for looking at how artists work on human rights. Course work will include critical readings, viewings of artistic work, and direct conversations with artists. Students will also participate in a multi-day summit on campus (April 29-May 2) that will bring distinguished artists from throughout the world to address the question “What is an artistic practice of human rights, conceptually, aesthetically and pragmatically?” Students will be given the option to produce either an academic or artistic final project.","Mark Bradley, Leslie Danzig",Logan Center 501,Art and Human Rights,1,[41031],[],SEM
ARTV20940,Undergraduate,Open,Tue Thu : 01:30 PM-02:50 PM,"This interdisciplinary seminar considers the idea of the artist as ethnographer in contemporary art and curatorial practice. Through lecture, screening and group discussions, we will trace the historical relationship between visual culture and the social sciences, uncovering how this has impacted ways of viewing objects, people and cultures within the Western tradition. Armed with this knowledge, we will consider how the ethnographer’s commitment to the study of Others has been challenged by an increasingly globalised and post-colonial world. We will explore questions of authority and subjectivity in ethnographic fieldwork. Finally, we will look to contemporary artworks and exhibitions that have reinvested in the image and practice of the ethnographer to uncover the politics and poetics of their work. You will be introduced to the practices of Brad Butler and Karen Mirza, Paulo Nazareth, Marine Hugonnier, Camille Henrot, Kapwani Kiwanga et. al. Sessions will include close reading and discussion of texts by Hal Foster, James Clifford, Clementine Deliss, Okwui Enwezor and Kaelen Wilson-Goldie, amongst others. This course is open to advanced undergraduates and graduate students.",Yesomi Umolu,Cochrane-Woods Art Ctr 152,The Artist as Ethnographer,1,[54511],[],SEM
ARTV21002,Undergraduate,Open,Tue Thu : 10:30 AM-12:20 PM,"This course is designed to introduce the student to observational drawing of the human figure. The subject of the course will be the live nude model. The object of the course is to see through proportions and the anatomy of the human body and draw out a likeness, rendering present the body as seen in its materiality, its structure, its finitude. Lectures on anatomy and the history of drawing will be ongoing and stitched into this studio course, as will the critique of drawings generated in class.",David Schutter,Logan Center 401,Life Drawing,1,[53989],[],STU
ARTV21501,Undergraduate,Open,Thu : 01:30 PM-04:20 PM,"An introduction to basic printmaking techniques, including monoprint, intaglio (drypoint), planographic, and relief printing. Printmaking will be explored as a “bridge medium”: a conduit between drawing, painting, and sculpture. Emphasis will be placed upon investigating visual structures through “calculated spontaneity” and “controlled accidents,” as well as on the serial potential inherent in printmaking, as opposed to the strictly technical aspects of this medium.",Katherine Desjardins,Logan Center 109,Introduction to Printmaking,1,[53991],[],STU
ARTV22310,Undergraduate,Open,Tue Thu : 10:30 AM-12:20 PM,"A primer on socially engaged art, this studio course will examine how art in the last generation has claimed new territory. This territory, commonly described as the ‘expanded field,’ involves not only art viewing contexts but also encompasses spaces of daily life and practice, socio-political spheres and draws regularly from non-art disciplines. The methods utilized in the production of this work are diverse and its successes are highly contested. In this studio-seminar course we will pack our proverbial bags and take a trip into this widely expanded field of socially engaged art and social practice, a practice emphasizing action, participation and dialogue. We will familiarize ourselves with numerous works, projects and methodologies that have been developed or proposed over the past 50 to 60 years, we will plunge deeply into the diverse historical frameworks leading up to and situating this work inside or outside art history and we will saturate our inquiries with the impassioned voices of this works’ supporters and skeptics through readings, blogs, interviews, field trips and visiting speakers. With rich historical and theoretical knowledge framing our practices, we will produce our own socially engaged work, both individually and collaboratively.",Amber Ginsburg,Logan Center 108,Art of Engagement,1,[53993],[],STU
ARTV22502,Undergraduate,Open,Thu : 01:30 PM-04:20 PM,"An introduction to the use of data sources and algorithmic methods in visual art, this course explores the aesthetic and theoretical possibilities of computational art-making. Focusing on the diverse and ever expanding global data-feed, we will craft custom software processes to create works investigating the visual transformation of information. Additionally, software programming may be deployed independently, without a connection to source material. While placing an emphasis on creating new work, we will also survey the history of this type of art practice.",Jason Salavon,Logan Center 028,Data and Algorithm in Art,1,[53995],[],STU
ARTV23806,Undergraduate,Open,Mon : 09:30 AM-12:20 PM,"This production course is geared toward short video works and innovative approaches to digital moving-image art. Video Workshop will function as a continuation and expansion on the foundations of Video I, with emphasis on individually directed projects and experimentation. While some technical instruction and assistance will be offered, a basic understanding of digital cameras and editing software will be beneficial. Projects include several short video sketches and experiments, group exercises, and a larger-scale independent project. Weeks will be divided into screenings/discussion sessions and technical work periods.",Scott Wolniak,Logan Center 003,Video Workshop,1,[53997],"[{'sectionname': 'Section 1L01 [53998] - LAB Open', 'daytime': 'Wed : 10:30 AM-12:20 PM', 'instructor': 'Wolniak'}]",STU
ARTV23905,Undergraduate,Open,Fri : 02:00 PM-04:20 PM,"This seminar will focus on how to craft a creative thesis in film or video. Works-in-progress will be screened each week, and technical and structural issues relating to the work will be explored. The workshop will also develop the written portion of the creative thesis. The class is limited to seniors from CMS and DOVA, and MAPH students working on a creative thesis.",Judy Hoffman,TBA,Creative Thesis Workshop,1,[43945],[],THE
ARTV24112,Undergraduate,Open,Thu : 01:30 PM-04:20 PM,"This course is open to all manifestations of sculptural practice broadly defined, including performance and film/video. A particular focus of the course will be considering issues of presence/the index, material histories, economic determination, and societal legibility. Readings on sculptural history from the 19th through the 21st century will be used to illuminate contemporary concerns and issues.",Geof Oppenheimer,Logan Center 110,Advanced Problems in Sculpture,1,[54005],[],STU
ARTV24121,Undergraduate,Open,Mon Wed : 01:30 PM-03:20 PM,,Carol Jackson,Logan Center 601,Adopted Strategies,1,[54007],[],STU
ARTV24403,Undergraduate,Open,Tue Thu : 10:30 AM-12:20 PM,"The goal of this course is to develop students’ investigations and explorations in photography, building on beginning level experience and basic facility with this medium. Students pursue a line of artistic inquiry by participating in a process that involves experimentation, reading, gallery visits, critiques, and discussions, but mostly by producing images. Primary emphasis is placed upon the visual articulation of the ideas of students through their work, as well as the verbal expression of their ideas in class discussions, critiques, and artist’s statements. As a vital component of articulating ideas and inquiry, students will refine their skills, e.g., black and white or color printing, medium or large format camera usage, or experimenting with light-sensitive materials.",Elisabeth Hogeman,Edelstone Hall B 045 D,Advanced Photography,1,[53946],[],STU
ARTV24705,Undergraduate,Open,Wed : 01:30 PM-04:20 PM,"We will jump into the many ways that drawing can be generated; we will discover the purposes it might serve, and the different forms that it can take. We will explore various ways to generate line, and the relationship between thought and looking.",Jessica Stockholder,Logan Center 109,"Drawing from Life, Culture, and Thought",1,[54009],[],STU
ARTV25300,Undergraduate,Open,Tue Thu : 10:30 AM-11:50 AM,"This course introduces basic concepts of film analysis, which are discussed through examples from different national cinemas, genres, and directorial oeuvres. Along with questions of film technique and style, we consider the notion of the cinema as an institution that comprises an industrial system of production, social and aesthetic norms and codes, and particular modes of reception. Films discussed include works by Hitchcock, Porter, Griffith, Eisenstein, Lang, Renoir, Sternberg, and Welles. Note(s): Required of students majoring in Cinema and Media Studies Equivalent Course(s): ARTH 20000,ARTV 25300,ENGL 10800",Takuya Tsunoda,Logan Center 201,Introduction to Film-1,2,[43897],"[{'sectionname': 'Section 2S01 [43898] - SCR Open', 'daytime': 'Tue : 07:00 PM-10:00 PM', 'instructor': 'Staff'}]",LEC
ARTV25704,Undergraduate,Open,Tue Thu : 12:00 PM-01:20 PM,"The course presents the history of photographic practices in the United States, beginning in the late 19th century and extending into the 1980s, aimed at gaining an audience for photographs within museums of art. The issues under study include the contention over claims about medium specificity, notions of photographic objectivity, a peculiarly photographic esthetics, the division of photography into two categories—art vs. documentary—and the role of tradition and canon formation in the attempted definition of the photographic medium.",Joel Snyder,Cochrane-Woods Art Ctr 152,Photo/Modernism/Esthetic,1,[54515],[],SEM
ARTV27210,Undergraduate,Open,Thu : 09:30 AM-12:20 PM,"The goal of this course is to literally expand your painting practice and your definition of painting. Through a series of studio projects, we will consider fundamental issues surrounding 21st-century painting such as: figuration/abstraction, the body, digital/analog, painting’s expanded relationship to itself and to other media. In the studio we will frequently subject painting to juxtaposition with other 2-D. 3-D, and 4-D media as we come to terms with the actual physical properties of paint. A final project serves as a culminating experience.",Katherine Desjardins,Logan Center 203,Intermediate/Advanced Painting,1,[54011],[],STU
ARTV28204,Undergraduate,Open,Tue Thu : 12:00 PM-01:20 PM,"This course explores the political documentary film, its intersection with historical and cultural events, and its opposition to Hollywood and traditional media. We will examine various documentary modes of production, from films with a social message, to advocacy and activist film, to counter-media and agit-prop. We will also consider the relationship between the filmmaker, film subject and audience, and how political documentaries are disseminated and, most importantly, part of political struggle.",Judy Hoffman,Cobb Hall 310,Political Documentary Film,1,[43938],"[{'sectionname': 'Section 1S01 [43939] - SCR Open', 'daytime': 'Wed : 03:30 PM-06:30 PM', 'instructor': 'Staff'}]",LEC
ARTV29600,Undergraduate,Open,Thu : 01:30 PM-04:20 PM,"Students in the Junior Seminar engage in two main activities: (1) a series of studio projects challenging the imagination and enlarging formal skills; and (2) an introduction to the contemporary art world through selected readings, lectures, careful analysis of art objects/events, and critical writing. Studio skills are developed while contending with the central task of articulating ideas through a resistant medium. Toward the end of the quarter, students who wish to apply for the Honors Track may submit their applications to the Department. Visits to museums, galleries, and other cultural and commercial sites required, as is attendance at designated events.",Amber Ginsburg,Logan Center 603,Junior Seminar,2,[54017],[],SEM
ARTV29700,Undergraduate,Open,TBA,"Students in this reading course should have already done fundamental course work and be ready to explore a particular area of interest much more closely. Prerequisite(s): ARTV 10100, 10200, or 10300 and consent of instructor Note(s): Students are required to submit the College Reading and Research Course Form.",Staff,TBA,Independent Study: Visual Arts,89,[54279],[],IND
ARTV30954,Graduate,Open,Tue Thu : 01:30 PM-02:50 PM,"This interdisciplinary seminar considers the idea of the artist as ethnographer in contemporary art and curatorial practice. Through lecture, screening and group discussions, we will trace the historical relationship between visual culture and the social sciences, uncovering how this has impacted ways of viewing objects, people and cultures within the Western tradition. Armed with this knowledge, we will consider how the ethnographer’s commitment to the study of Others has been challenged by an increasingly globalised and post-colonial world. We will explore questions of authority and subjectivity in ethnographic fieldwork. Finally, we will look to contemporary artworks and exhibitions that have reinvested in the image and practice of the ethnographer to uncover the politics and poetics of their work. You will be introduced to the practices of Brad Butler and Karen Mirza, Paulo Nazareth, Marine Hugonnier, Camille Henrot, Kapwani Kiwanga et. al. Sessions will include close reading and discussion of texts by Hal Foster, James Clifford, Clementine Deliss, Okwui Enwezor and Kaelen Wilson-Goldie, amongst others. This course is open to advanced undergraduates and graduate students.",Yesomi Umolu,Cochrane-Woods Art Ctr 152,The Artist as Ethnographer,1,[54512],[],SEM
ARTV31002,Graduate,Open,Tue Thu : 10:30 AM-12:20 PM,"This course is designed to introduce the student to observational drawing of the human figure. The subject of the course will be the live nude model. The object of the course is to see through proportions and the anatomy of the human body and draw out a likeness, rendering present the body as seen in its materiality, its structure, its finitude. Lectures on anatomy and the history of drawing will be ongoing and stitched into this studio course, as will the critique of drawings generated in class.",David Schutter,Logan Center 401,Life Drawing,1,[53990],[],STU
ARTV31501,Graduate,Open,Thu : 01:30 PM-04:20 PM,"An introduction to basic printmaking techniques, including monoprint, intaglio (drypoint), planographic, and relief printing. Printmaking will be explored as a “bridge medium”: a conduit between drawing, painting, and sculpture. Emphasis will be placed upon investigating visual structures through “calculated spontaneity” and “controlled accidents,” as well as on the serial potential inherent in printmaking, as opposed to the strictly technical aspects of this medium.",Katherine Desjardins,Logan Center 109,Introduction to Printmaking,1,[53992],[],STU
ARTV32310,Graduate,Open,Tue Thu : 10:30 AM-12:20 PM,"A primer on socially engaged art, this studio course will examine how art in the last generation has claimed new territory. This territory, commonly described as the ‘expanded field,’ involves not only art viewing contexts but also encompasses spaces of daily life and practice, socio-political spheres and draws regularly from non-art disciplines. The methods utilized in the production of this work are diverse and its successes are highly contested. In this studio-seminar course we will pack our proverbial bags and take a trip into this widely expanded field of socially engaged art and social practice, a practice emphasizing action, participation and dialogue. We will familiarize ourselves with numerous works, projects and methodologies that have been developed or proposed over the past 50 to 60 years, we will plunge deeply into the diverse historical frameworks leading up to and situating this work inside or outside art history and we will saturate our inquiries with the impassioned voices of this works’ supporters and skeptics through readings, blogs, interviews, field trips and visiting speakers. With rich historical and theoretical knowledge framing our practices, we will produce our own socially engaged work, both individually and collaboratively.",Amber Ginsburg,Logan Center 108,Art of Engagement,1,[53994],[],STU
ARTV32502,Graduate,Closed,Thu : 01:30 PM-04:20 PM,"An introduction to the use of data sources and algorithmic methods in visual art, this course explores the aesthetic and theoretical possibilities of computational art-making. Focusing on the diverse and ever expanding global data-feed, we will craft custom software processes to create works investigating the visual transformation of information. Additionally, software programming may be deployed independently, without a connection to source material. While placing an emphasis on creating new work, we will also survey the history of this type of art practice.",Jason Salavon,Logan Center 028,Data and Algorithm in Art,1,[53996],[],STU
ARTV33806,Graduate,Open,Mon : 09:30 AM-12:20 PM,"This production course is geared toward short video works and innovative approaches to digital moving-image art. Video Workshop will function as a continuation and expansion on the foundations of Video I, with emphasis on individually directed projects and experimentation. While some technical instruction and assistance will be offered, a basic understanding of digital cameras and editing software will be beneficial. Projects include several short video sketches and experiments, group exercises, and a larger-scale independent project. Weeks will be divided into screenings/discussion sessions and technical work periods.",Scott Wolniak,Logan Center 003,Video Workshop,1,[53999],"[{'sectionname': 'Section 1L01 [54000] - STU Open', 'daytime': 'Wed : 10:30 AM-12:20 PM', 'instructor': 'Wolniak'}]",LAB
ARTV33905,Graduate,Open,Fri : 02:00 PM-04:20 PM,"This seminar will focus on how to craft a creative thesis in film or video. Works-in-progress will be screened each week, and technical and structural issues relating to the work will be explored. The workshop will also develop the written portion of the creative thesis. The class is limited to seniors from CMS and DOVA, and MAPH students working on a creative thesis.",Judy Hoffman,TBA,Creative Thesis Workshop,1,[43946],[],THE
ARTV34112,Graduate,Open,Thu : 01:30 PM-04:20 PM,"This course is open to all manifestations of sculptural practice broadly defined, including performance and film/video. A particular focus of the course will be considering issues of presence/the index, material histories, economic determination, and societal legibility. Readings on sculptural history from the 19th through the 21st century will be used to illuminate contemporary concerns and issues.",Geof Oppenheimer,Logan Center 110,Advanced Problems in Sculpture,1,[54006],[],STU
ARTV34121,Graduate,Open,Mon Wed : 01:30 PM-03:20 PM,,Carol Jackson,Logan Center 601,Adopted Strategies,1,[54008],[],STU
ARTV34403,Graduate,Open,Tue Thu : 10:30 AM-12:20 PM,"The goal of this course is to develop students’ investigations and explorations in photography, building on beginning level experience and basic facility with this medium. Students pursue a line of artistic inquiry by participating in a process that involves experimentation, reading, gallery visits, critiques, and discussions, but mostly by producing images. Primary emphasis is placed upon the visual articulation of the ideas of students through their work, as well as the verbal expression of their ideas in class discussions, critiques, and artist’s statements. As a vital component of articulating ideas and inquiry, students will refine their skills, e.g., black and white or color printing, medium or large format camera usage, or experimenting with light-sensitive materials.",Elisabeth Hogeman,Edelstone Hall B 045 D,Advanced Photography,1,[53952],[],STU
ARTV34705,Graduate,Open,Wed : 01:30 PM-04:20 PM,"We will jump into the many ways that drawing can be generated; we will discover the purposes it might serve, and the different forms that it can take. We will explore various ways to generate line, and the relationship between thought and looking.",Jessica Stockholder,Logan Center 109,"Drawing from Life, Culture, and Thought",1,[54010],[],STU
ARTV35704,Graduate,Open,Tue Thu : 12:00 PM-01:20 PM,"The course presents the history of photographic practices in the United States, beginning in the late 19th century and extending into the 1980s, aimed at gaining an audience for photographs within museums of art. The issues under study include the contention over claims about medium specificity, notions of photographic objectivity, a peculiarly photographic esthetics, the division of photography into two categories—art vs. documentary—and the role of tradition and canon formation in the attempted definition of the photographic medium.",Joel Snyder,Cochrane-Woods Art Ctr 152,Photo/Modernism/Esthetic,1,[54516],[],SEM
ARTV37210,Graduate,Open,Thu : 09:30 AM-12:20 PM,"The goal of this course is to literally expand your painting practice and your definition of painting. Through a series of studio projects, we will consider fundamental issues surrounding 21st-century painting such as: figuration/abstraction, the body, digital/analog, painting’s expanded relationship to itself and to other media. In the studio we will frequently subject painting to juxtaposition with other 2-D. 3-D, and 4-D media as we come to terms with the actual physical properties of paint. A final project serves as a culminating experience.",Katherine Desjardins,Logan Center 203,Intermediate/Advanced Painting,1,[54012],[],STU
ARTV38204,Graduate,Open,Tue Thu : 12:00 PM-01:20 PM,"This course explores the political documentary film, its intersection with historical and cultural events, and its opposition to Hollywood and traditional media. We will examine various documentary modes of production, from films with a social message, to advocacy and activist film, to counter-media and agit-prop. We will also consider the relationship between the filmmaker, film subject and audience, and how political documentaries are disseminated and, most importantly, part of political struggle.",Judy Hoffman,Cobb Hall 310,Political Documentary Film,1,[43940],"[{'sectionname': 'Section 1S01 [43941] - SCR Open', 'daytime': 'Wed : 03:30 PM-06:30 PM', 'instructor': 'Staff'}]",LEC
ARTV39700,Graduate,Open,TBA,,David Schutter,TBA,Independent Study: Visual Arts,9,[54308],[],IND
ARTV39901,Graduate,Open,Fri : 09:30 AM-12:20 PM,,Matthew Jackson,Logan Center 801,21st Century Art,1,[54013],[],STU
ARTV40000,Graduate,Closed,TBA,Only MFA students in the Department of Visual Arts may register for this class.,Jason Salavon,TBA,Graduate Studio Project,1,[54015],[],STU
